Report Date,Health District,Sex,Number of Cases,Number of Hospitalizations,Number of Deaths
09/02/2020,Loudoun,Male,2969,218,46
09/02/2020,Rappahannock Rapidan,Female,1186,63,12
09/02/2020,Piedmont,Female,550,51,10
09/02/2020,Richmond,Male,1942,186,29
09/02/2020,Crater,Female,1398,135,39
09/02/2020,Portsmouth,Female,1238,101,23
09/02/2020,Arlington,Not Reported,6,0,0
09/02/2020,Mount Rogers,Not Reported,10,0,1
09/02/2020,Thomas Jefferson,Not Reported,3,0,0
09/02/2020,Three Rivers,Not Reported,22,0,0
09/02/2020,Hampton,Male,698,36,7
09/02/2020,Alleghany,Male,555,37,9
09/02/2020,Roanoke,Female,629,26,9
09/02/2020,Loudoun,Not Reported,49,0,0
09/02/2020,Fairfax,Female,9581,891,279
09/02/2020,Western Tidewater,Male,1309,90,48
09/02/2020,Peninsula,Not Reported,15,0,0
09/02/2020,New River,Male,724,26,6
09/02/2020,Central Shenandoah,Male,1630,114,32
09/02/2020,Southside,Male,546,39,17
09/02/2020,Chesterfield,Male,2659,160,58
09/02/2020,Arlington,Female,1761,206,65
09/02/2020,Rappahannock,Male,2115,184,37
09/02/2020,Central Virginia,Male,1119,44,11
09/02/2020,Alleghany,Not Reported,6,0,0
09/02/2020,Henrico,Male,2198,194,90
09/02/2020,Thomas Jefferson,Male,1177,82,25
09/02/2020,Lord Fairfax,Male,1334,133,47
09/02/2020,Three Rivers,Male,753,46,9
09/02/2020,Richmond,Not Reported,49,2,2
09/02/2020,Pittsylvania-Danville,Male,636,42,8
09/02/2020,Portsmouth,Not Reported,3,0,0
09/02/2020,Norfolk,Not Reported,2,0,0
09/02/2020,Chesapeake,Male,1707,161,27
09/02/2020,Chickahominy,Female,714,72,22
09/02/2020,Prince William,Male,6503,590,124
09/02/2020,Eastern Shore,Not Reported,9,0,0
09/02/2020,Eastern Shore,Male,711,67,22
09/02/2020,Rappahannock Rapidan,Male,1112,89,19
09/02/2020,Henrico,Not Reported,26,0,0
09/02/2020,Cumberland Plateau,Female,292,23,5
09/02/2020,West Piedmont,Male,708,90,21
09/02/2020,Hampton,Not Reported,5,0,0
09/02/2020,Alexandria,Not Reported,10,0,0
09/02/2020,Western Tidewater,Not Reported,5,0,0
09/02/2020,Cumberland Plateau,Not Reported,0,0,0
09/02/2020,Virginia Beach,Male,2748,156,37
09/02/2020,Alleghany,Female,624,25,13
09/02/2020,Lenowisco,Female,363,29,4
09/02/2020,Virginia Beach,Not Reported,15,0,0
09/02/2020,Western Tidewater,Female,1600,71,45
09/02/2020,Mount Rogers,Male,909,117,45
09/02/2020,Lord Fairfax,Female,1485,115,50
09/02/2020,Piedmont,Not Reported,5,0,0
09/02/2020,Alexandria,Male,1633,162,28
09/02/2020,Pittsylvania-Danville,Not Reported,8,0,0
09/02/2020,West Piedmont,Not Reported,7,0,0
09/02/2020,Loudoun,Female,3035,171,72
09/02/2020,Hampton,Female,867,18,9
09/02/2020,Henrico,Female,2446,187,104
09/02/2020,Prince William,Not Reported,112,1,0
09/02/2020,Chickahominy,Male,540,71,26
09/02/2020,Rappahannock Rapidan,Not Reported,12,0,0
09/02/2020,Peninsula,Female,1964,87,33
09/02/2020,Lenowisco,Not Reported,7,0,0
09/02/2020,Crater,Not Reported,49,1,0
09/02/2020,Chickahominy,Not Reported,6,0,0
09/02/2020,Portsmouth,Male,1001,85,18
09/02/2020,New River,Female,712,11,3
09/02/2020,Rappahannock,Female,2398,167,26
09/02/2020,Central Virginia,Female,1253,36,8
09/02/2020,Roanoke,Not Reported,13,0,0
09/02/2020,West Piedmont,Female,927,110,15
09/02/2020,Mount Rogers,Female,1118,70,28
09/02/2020,Piedmont,Male,1170,76,29
09/02/2020,Chesterfield,Female,2776,144,51
09/02/2020,Fairfax,Male,9074,1193,291
09/02/2020,Crater,Male,1781,117,38
09/02/2020,Central Virginia,Not Reported,13,0,0
09/02/2020,Prince William,Female,6713,450,94
09/02/2020,Virginia Beach,Female,3318,168,33
09/02/2020,Norfolk,Female,2313,147,26
09/02/2020,Three Rivers,Female,523,48,11
09/02/2020,Arlington,Male,1802,263,76
09/02/2020,Central Shenandoah,Female,1916,122,30
09/02/2020,Southside,Female,502,32,20
12/15/2020,Rappahannock,Male,4727,275,58
12/15/2020,Central Virginia,Male,4117,149,54
12/15/2020,Alleghany,Not Reported,122,0,2
12/15/2020,Henrico,Male,4656,307,123
